Article,Point,Content
Art. 155,6,"O sposobie załatwienia odwołania prezydium komisji niezwłocznie zawiadamia komisję, jednak nie później niż na następnym posiedzeniu. Decyzja prezydium komisji jest ostateczna."
Art. 156,1,"Komisja może postanowić odbycie posiedzenia zamkniętego, określając osoby, których udział w posiedzeniu jest niezbędny. Ta część posiedzenia, podczas której zapada postanowienie, jest zamknięta."
Art. 156,2,Przewodniczący komisji przyznaje klauzulę tajności dokumentom zawierającym informacje niejawne wytworzonym na posiedzeniu zamkniętym komisji.
Art. 157,,"Na wypowiedziane przez posłów w toku posiedzenia komisji wnioski i uwagi uczestniczący w posiedzeniu przedstawiciele organów państwowych, instytucji i organizacji udzielają odpowiedzi na tym samym lub najbliższym posiedzeniu komisji; w uzasadnionych wypadkach odpowiedź ta może być udzielona w formie pisemnej; o treści nadesłanych odpowiedzi przewodniczący komisji informuje komisję na najbliższym posiedzeniu."
Art. 158,1,"Komisja uchwala dezyderaty, opinie, sprawozdania, a także projekty uchwał, rezolucji, apeli, oświadczeń lub deklaracji Sejmu. Komisja, w drodze uchwały, może przyjąć do wiadomości przedłożoną jej informację bądź stanowisko."
Art. 159,1,"Dezyderat zawiera postulaty komisji w określonych sprawach i może być skierowany do Rady Ministrów lub poszczególnych jej członków, Prezesa Najwyższej Izby Kontroli, Prezesa Narodowego Banku Polskiego, Prokuratora Generalnego oraz Głównego Inspektora Pracy."
Art. 159,2,"Uchwalone przez komisje dezyderaty przedstawiane są przez przewodniczącego komisji Marszałkowi Sejmu, który przesyła je odpowiednim organom."
Art. 159,3,Marszałek Sejmu może zwrócić komisji uchwalony przez nią dezyderat z umotywowanym zaleceniem ponownego rozpatrzenia sprawy; dezyderat ponownie przez komisję uchwalony Marszałek Sejmu przesyła adresatowi.
Art. 159,4,"Organ, pod którego adresem uchwalony został dezyderat komisji, ma obowiązek ustosunkować się do niego i pisemnie powiadomić Marszałka Sejmu o zajętym stanowisku w ciągu 30 dni od dnia otrzymania dezyderatu, chyba że Marszałek Sejmu, na wniosek zainteresowanego organu, po porozumieniu z prezydium komisji, ustali inny termin."
Art. 159,5,Odpowiedzi organów państwowych na dezyderaty oraz informacje tych organów o przebiegu realizacji dezyderatów są rozpatrywane na posiedzeniach komisji.
Art. 159,6,"W razie nieotrzymania odpowiedzi w terminie lub uznania otrzymanej odpowiedzi za niezadowalającą, komisja może ponowić dezyderat, przedłożyć Marszałkowi Sejmu wniosek o zwrócenie odpowiedzi jako niezadowalającej lub przedłożyć Sejmowi projekt odpowiedniej uchwały lub rezolucji."
Art. 160,1,"Opinia zawiera stanowisko w określonej sprawie; komisja może przedstawić opinię organom wymienionym w art. 159 ust. 1, a także innym centralnym urzędom i instytucjom państwowym; przepisy art. 159 ust. 2 i 3 stosuje się odpowiednio."
Art. 160,2,"Komisja może zwrócić się do adresata opinii o przedstawienie stanowiska w sprawach podniesionych w opinii, jak również o informacje o przebiegu realizacji wniosków wynikających z tej opinii; adresat opinii jest obowiązany na żądanie komisji przedstawić stanowisko w terminie określonym w art. 159 ust. 4; w sprawach tych stosuje się odpowiednio przepisy art. 159 ust. 5 i 6."
Art. 161,1,W sprawach związanych z wprowadzeniem w życie i wykonywaniem ustaw i uchwał Sejmu właściwe komisje przeprowadzają kontrole.
Art. 161,2,"W wypadkach gdy problematyka zamierzonej kontroli wiąże się z przedmiotowym zakresem działania także innej komisji, kontrola taka powinna być podjęta we współdziałaniu z zainteresowaną komisją jako kontrola wspólna bądź przy udziale przedstawicieli takiej komisji."
Art. 161,3,Prezydium Sejmu określa ogólne zasady przeprowadzania kontroli.
Art. 161,4,Komisja przeprowadzająca kontrolę określa zakres oraz sposób jej przeprowadzenia.
Art. 162,1,"Wyniki kontroli, o których mowa w art. 161 ust. 1, ujmuje się w sprawozdaniach, które przekazuje się Marszałkowi Sejmu."
Art. 162,2,"Marszałek Sejmu zarządza doręczenie sprawozdań, o których mowa w ust. 1, wszystkim posłom; sprawozdanie może być przedmiotem obrad na posiedzeniu Sejmu."
Art. 162a,1,Wniosek komisji o przeprowadzenie kontroli przez Najwyższą Izbę Kontroli powinien zawierać cel i zakres zlecanej kontroli oraz wskazywać podmiot podlegający kontroli.
Art. 162a,2,"Wniosek, o którym mowa w ust. 1, przedstawiany jest przez przewodniczącego komisji Marszałkowi Sejmu, który przesyła wniosek adresatowi."
Art. 162a,3,Marszałek Sejmu może zwrócić komisji uchwalony przez nią wniosek z umotywowanym zaleceniem ponownego rozpatrzenia sprawy; wniosek ponownie uchwalony przez komisję Marszałek Sejmu przesyła adresatowi.
Art. 163,1,"Komisje mogą odbywać posiedzenia wspólne, którym przewodniczy jeden z przewodniczących komisji."
Art. 163,2,Komisje obradujące wspólnie przyjmują uchwały większością głosów w obecności co najmniej 1/3 liczby członków każdej z uczestniczących w posiedzeniu komisji.
Art. 163a,1,"Uchwały komisji zapadają większością głosów w obecności co najmniej 1/3 liczby członków komisji, chyba że ustawa lub uchwała stanowi inaczej."
Art. 163a,2,"W przypadku zgłoszenia na posiedzeniu komisji wniosku w sprawie proceduralnej wniosek taki głosowany jest niezwłocznie. W przypadku uzyskania w głosowaniu nad wnioskiem równej liczby głosów, o przyjęciu albo o odrzuceniu uchwały w tej sprawie rozstrzyga głos prowadzącego obrady, jeżeli nie wstrzymał się on od głosu."
Art. 163a,3,"W przypadku gdy zaistniały wątpliwości, czy wskutek przyjętych poprawek nie zachodzą sprzeczności pomiędzy poszczególnymi przepisami projektu, komisja może, na wniosek członka komisji, podjąć w głosowaniu decyzję o powrocie do rozpatrywania danej sprawy."
Art. 163a,4,Do głosowania stosuje się odpowiednio przepisy art. 188 ust. 2 pkt 1 i ust. 3.
Art. 164,1,"W sprawach przekazanych komisji do rozpatrzenia przez Sejm, Marszałka Sejmu lub Prezydium Sejmu komisja przedstawia sprawozdanie."
Art. 164,2,"Komisje wybierają ze swojego składu sprawozdawcę na posiedzenie Sejmu, który przedstawia w sposób obiektywny wnioski zawarte w sprawozdaniu komisji."
Art. 165,1,"Komisje mogą ze swojego składu powoływać podkomisje, określając ich skład oraz zakres działania; powołanie podkomisji stałej wymaga zgody Prezydium Sejmu."
Art. 165,2,"W pracach podkomisji odpowiednie zastosowanie mają przepisy art. 149, 150, 151, 152 ust. 1, art. 154 ust. 1, 1a, 3 i 5, art. 155, 156 i art. 163a ust. 1."
Art. 166,1,"Z przebiegu każdego posiedzenia komisji sporządza się protokół, który stanowi urzędowe stwierdzenie przebiegu obrad."
Art. 166,2,"Protokół obejmuje krótki opis przebiegu posiedzenia, a w załączniku zredagowany stylistycznie pełny zapis jego przebiegu. Do protokołu załącza się także listy obecności, teksty projektów, przyjętych sprawozdań, uchwał, opinii, dezyderatów oraz teksty poprawek zgłoszonych w formie pisemnej do projektów ustaw i uchwał, teksty przedłożonych odpowiedzi, informacji i innych materiałów."
Art. 166,3,"Członek komisji, a także inna osoba zabierająca głos w dyskusji, może zgłosić uwagi do protokołu; o ich przyjęciu lub odrzuceniu decyduje komisja. Protokół, do którego nie wniesiono zastrzeżeń, uważa się za przyjęty. Protokół podpisuje przewodniczący obradom komisji oraz sporządzający protokół."
Art. 166,4,"W Systemie Informacyjnym Sejmu, o którym mowa w art. 201a, umieszcza się wskazany w ust. 2 pełny zapis przebiegu obrad."
Art. 166,,[Art. 166a 56)
Art. 166,1,"Z przebiegu każdego posiedzenia podkomisji sporządza się zredagowany stylistycznie pełny zapis przebiegu tego posiedzenia, który stanowi urzędowe stwierdzenie przebiegu obrad."
Art. 166,2,Do pełnego zapisu przebiegu posiedzenia podkomisji przepisy art. 166 ust. 3 zdanie pierwsze i drugie stosuje się odpowiednio.
Art. 166,3,"W Systemie Informacyjnym Sejmu, o którym mowa w art. 201a, umieszcza się wskazany w ust. 1 pełny zapis przebiegu posiedzenia podkomisji.]"
Art. 166,,"(art. 166a wchodzi w życie z pierwszym dniem kadencji Sejmu następującej po kadencji, w czasie której niniejsza uchwała weszła w życie - M.P. 2019 r. poz. 269)"
Art. 167,,"Komisje, na zasadach i w trybie określonych przez Prezydium Sejmu, mogą przeprowadzać w wyznaczonym przez siebie składzie wizytacje oraz badania działalności poszczególnych zakładów oraz spółek z udziałem Skarbu Państwa, przedsiębiorstw i innych instytucji państwowych."
Art. 168,1,Na zakończenie kadencji komisja sporządza sprawozdanie ze swojej działalności.
Art. 168,2,Sprawozdanie komisji może być umieszczone w porządku dziennym posiedzenia Sejmu.
Art. 169,1,Sejm obraduje na posiedzeniach.
Art. 169,2,Przedmiotem obrad na posiedzeniach Sejmu są w szczególności:
Art. 169,1,"wybór Marszałka, wicemarszałków i sekretarzy Sejmu oraz komisji sejmowych,"
Art. 169,2,"57) powoływanie i odwoływanie Prezesa Najwyższej Izby Kontroli, Rzecznika Praw Obywatelskich, Prezesa Narodowego Banku Polskiego oraz Prezesa Urzędu Ochrony Danych Osobowych,"
Art. 169,3,"58) wybór sędziów Trybunału Konstytucyjnego, zastępców przewodniczącego i członków Trybunału Stanu, członków Rady Polityki Pieniężnej, członków Krajowej Rady Radiofonii i Telewizji oraz członków Krajowej Rady Sądownictwa,"
Art. 169,3," wybór przedstawicieli Sejmu do konwentu, o którym mowa w art. 48 ust. 3 Traktatu o Unii Europejskiej,"
Art. 169,4,"orędzia Prezydenta,"
Art. 169,5,"projekty ustaw i uchwał Sejmu,"
Art. 169,6,"uchwały Senatu o wprowadzeniu poprawek do ustawy uchwalonej przez Sejm lub jej odrzuceniu,"
Art. 169,7,"wnioski Prezydenta w sprawie ponownego rozpatrzenia uchwalonej ustawy,"
Art. 169,8,"projekty ustawy budżetowej i innych planów finansowych państwa, a także sprawozdania z ich wykonania wraz z wnioskiem w przedmiocie absolutorium,"
Art. 169,9,"exposé Prezesa Rady Ministrów wraz z wnioskiem o udzielenie Rządowi wotum zaufania,"
Art. 169,10,"wybór Rady Ministrów w wypadkach określonych w przepisach konstytucyjnych,"
Art. 169,11,"wnioski o wyrażenie wotum nieufności Radzie Ministrów lub poszczególnym ministrom,"
Art. 169,12,"uwagi Najwyższej Izby Kontroli do sprawozdań Rady Ministrów z wykonania zadań społeczno-gospodarczych oraz analiza wykonania budżetu, a także coroczne sprawozdanie z działalności Najwyższej Izby Kontroli,"
Art. 169,13,"informacje Trybunału Konstytucyjnego o istotnych problemach wynikających z jego działalności i orzecznictwa,"
Art. 169,14,"coroczne informacje Rzecznika Praw Obywatelskich o jego działalności oraz o stanie przestrzegania wolności i praw człowieka i obywatela,"
Art. 169,14," coroczne informacje Pierwszego Prezesa Sądu Najwyższego o działalności Sądu Najwyższego oraz wynikających z niej istotnych problemach,"
Art. 169,14," informacje Krajowej Rady Sądownictwa z jej rocznej działalności oraz postulaty co do aktualnych problemów i potrzeb wymiaru sprawiedliwości,"
Art. 169,14," coroczne informacje Rzecznika Praw Dziecka o jego działalności oraz uwagi o stanie przestrzegania praw dziecka,"
Art. 169,14," roczne sprawozdania Prezesa Narodowego Banku Polskiego z działalności Narodowego Banku Polskiego,"
Art. 169,14," coroczne sprawozdania z działalności Krajowej Rady Radiofonii i Telewizji,"
Art. 169,14," 59) coroczne informacje Rady Mediów Narodowych o jej działalności,"
Art. 169,15,"60) okresowe informacje i sprawozdania z działalności instytucji i organów władzy państwowej innych niż te, o których mowa w pkt 12-14f i 15a, przedkładane na podstawie odrębnych przepisów,"
Art. 169,15," okresowe informacje Rady Ministrów o udziale Rzeczypospolitej Polskiej w pracach Unii Europejskiej,"
Art. 169,16,"sprawy związane z wprowadzaniem w życie i wykonywaniem ustaw i uchwał,"
Art. 169,17,"informacje bieżące i pytania w sprawach bieżących,"
Art. 169,18,"inne sprawy wniesione lub przekazane przez Prezydenta, Radę Ministrów, Prezydium Sejmu, komisje sejmowe oraz posłów."
Art. 170,1,"Prezydent uczestniczy w posiedzeniu Sejmu, gdy uzna to za celowe."
Art. 170,2,"W posiedzeniach Sejmu uczestniczą członkowie Rady Ministrów oraz Prezes Najwyższej Izby Kontroli; potwierdzają oni swoją obecność podpisem na liście obecności. W razie niemożności wzięcia udziału w posiedzeniu, mogą oni delegować swoich upełnomocnionych zastępców."
Art. 170,3,"61) W posiedzeniach Sejmu mogą uczestniczyć: Marszałek Senatu, Pierwszy Prezes Sądu Najwyższego - Przewodniczący Trybunału Stanu, Prezes Trybunału Konstytucyjnego, Rzecznik Praw Obywatelskich, Rzecznik Praw Dziecka, Prezes Naczelnego Sądu Administracyjnego, Przewodniczący Państwowej Komisji Wyborczej, Przewodniczący Krajowej Rady Sądownictwa, Prokurator Generalny, Prezes Narodowego Banku Polskiego, Przewodniczący Krajowej Rady Radiofonii i Telewizji, Przewodniczący Rady Mediów Narodowych, Prezes Urzędu Ochrony Danych Osobowych, Szef Kancelarii Prezydenta oraz sekretarze stanu w Kancelarii Prezydenta."
Art. 170,4,Prawo wstępu na salę posiedzeń Sejmu mają również osoby i delegacje zaproszone przez Marszałka Sejmu oraz upoważnieni przez niego pracownicy Kancelarii Sejmu.
Art. 171,1,"Marszałek Sejmu najpóźniej na 7 dni przed planowanym posiedzeniem zawiadamia o dacie i porządku dziennym tego posiedzenia posłów, Prezydenta, Marszałka Senatu, członków Rady Ministrów, Pierwszego Prezesa Sądu Najwyższego, Prezesa Trybunału Konstytucyjnego, Prokuratora Generalnego, Prezesa Najwyższej Izby Kontroli, Prezesa Narodowego Banku Polskiego, Rzecznika Praw Obywatelskich oraz Rzecznika Praw Dziecka."
Art. 171,2,"W szczególnie uzasadnionych wypadkach termin, o którym mowa w ust. 1, może ulec skróceniu."
Art. 172,1,Posiedzenia Sejmu są jawne. Jawność posiedzeń Sejmu zapewnia się w szczególności poprzez:
Art. 172,1,"wcześniejsze informowanie opinii publicznej o posiedzeniach Sejmu,"
Art. 172,2,"umożliwienie prasie, radiu i telewizji sporządzania sprawozdań z posiedzeń Sejmu,"
Art. 172,3,"umożliwienie publiczności obserwowania obrad Sejmu z galerii w sali posiedzeń Sejmu, na zasadach określonych przez Marszałka Sejmu w przepisach porządkowych."
Art. 172,2,"Sejm, na wniosek Prezydium Sejmu lub co najmniej 30 posłów, może uchwalić tajność obrad, jeżeli wymaga tego dobro Państwa."
Art. 172,3,"Sejm rozstrzyga o tajności obrad bez udziału publiczności i przedstawicieli prasy, radia i telewizji, po wysłuchaniu uzasadnienia wniosku - bez debaty. Uchwała o tajności obrad podejmowana jest bezwzględną większością głosów w obecności co najmniej połowy ogólnej liczby posłów."
Art. 173,1,Posiedzenia Sejmu odbywają się w terminach ustalonych przez Prezydium Sejmu lub uchwałą Sejmu.
Art. 173,2,"Porządek dzienny posiedzenia Sejmu ustala Marszałek Sejmu, po wysłuchaniu opinii Konwentu Seniorów."
Art. 173,3,"Wnioski o uzupełnienie porządku dziennego mogą zgłaszać kluby, koła oraz grupy co najmniej 15 posłów, przedstawiając je Marszałkowi Sejmu w formie pisemnej do godziny 21.00 dnia poprzedzającego dzień rozpoczęcia posiedzenia Sejmu."
Art. 173,4,"W przypadku braku jednolitej opinii Konwentu Seniorów w sprawie porządku dziennego posiedzenia, w spornych punktach porządku rozstrzyga Sejm, po przedstawieniu sprawy przez Marszałka Sejmu. Głosowanie nie jest poprzedzone debatą ani zadawaniem pytań."
Art. 173,5,"Wnioski nieuwzględnione przez Marszałka Sejmu, o których mowa w ust. 3, stają się przedmiotem rozstrzygnięcia przez Sejm w terminie nieprzekraczającym czterech miesięcy od dnia ich złożenia."
Art. 173,6,"Przepisów ust. 3-5 nie stosuje się do wniosku, o którym mowa w art. 10a ust. 1."
Art. 174,1,"Wypowiedziane przez posłów w toku posiedzenia Sejmu wnioski i uwagi podlegają wnikliwemu rozpatrzeniu przez właściwe organy państwowe, instytucje i organizacje."
Art. 174,2,"Marszałek Sejmu może zwrócić się do właściwych organów, instytucji i organizacji o przedstawienie stanowiska w sprawie wniosku lub uwagi wypowiedzianej przez posła w toku posiedzenia Sejmu."
Art. 175,1,Marszałek Sejmu czuwa nad przestrzeganiem w toku obrad Regulaminu Sejmu oraz powagi i porządku na sali posiedzeń.
Art. 175,2,"Marszałek Sejmu może zwrócić uwagę posłowi, który w wystąpieniu swoim odbiega od przedmiotu obrad określonego w porządku dziennym, przywołaniem posła ""do rzeczy"". Po dwukrotnym przywołaniu posła ""do rzeczy"" Marszałek może odebrać przemawiającemu głos."
Art. 175,2," 62) Marszałek Sejmu może stwierdzić, że poseł swoim zachowaniem na sali posiedzeń naruszył powagę Sejmu."
Art. 175,3,"Marszałek Sejmu po uprzednim zwróceniu uwagi ma prawo przywołać posła ""do porządku"", jeżeli uniemożliwia on prowadzenie obrad."
Art. 175,4,"W przypadku niezastosowania się przez posła do polecenia Marszałka Sejmu, o którym mowa w ust. 3, Marszałek Sejmu ma prawo ponownie przywołać posła ""do porządku"", stwierdzając, że uniemożliwia on prowadzenie obrad."
Art. 175,5,"Marszałek ma prawo podjąć decyzję o wykluczeniu posła z posiedzenia Sejmu, jeżeli poseł nadal uniemożliwia prowadzenie obrad i na tym samym posiedzeniu został już upomniany w trybie ust. 4; poseł wykluczony z posiedzenia Sejmu jest obowiązany natychmiast opuścić salę posiedzeń. Jeżeli poseł nie opuści sali posiedzeń, Marszałek Sejmu zarządza przerwę w obradach."
Art. 175,6,"1) Od decyzji Marszałka Sejmu poseł może odwołać się do Prezydium Sejmu, które niezwłocznie rozstrzyga sprawę po zasięgnięciu opinii Komisji Regulaminowej, Spraw Poselskich i Immunitetowych. Do czasu ostatecznego rozstrzygnięcia sprawy poseł nie bierze udziału w posiedzeniu."
Art. 175,7,"O sposobie załatwienia odwołania Prezydium Sejmu niezwłocznie zawiadamia Sejm, jednak nie później niż na następnym posiedzeniu. Decyzja Prezydium Sejmu jest ostateczna."
Art. 175,8,63) Do czasu wniesienia przez posła odwołania Marszałek Sejmu może uchylić swoją decyzję o wykluczeniu posła z posiedzenia Sejmu.
Art. 176,1,"Z przebiegu posiedzenia Sejmu sporządza się protokół oraz sprawozdanie stenograficzne, które stanowią jedyne urzędowe stwierdzenie przebiegu obrad."
Art. 176,2,"64) Sprawozdanie stenograficzne obejmuje zredagowany stylistycznie pełny zapis przebiegu obrad oraz załączniki - zestawienia zgłoszonych w debacie poprawek do projektów ustaw i uchwał, imienne wykazy wyników głosowań oraz, z zastrzeżeniem art. 187a zdanie drugie, teksty wystąpień niewygłoszonych w danym punkcie porządku dziennego i teksty niewygłoszonych oświadczeń poselskich. Teksty niewygłoszone są oznakowane w sposób umożliwiający ich odróżnienie od tekstów wygłoszonych."
Art. 176,3,"Poseł oraz każdy uczestnik posiedzenia biorący udział w dyskusji może autoryzować swoje wystąpienie, wprowadzając poprawki redakcyjne, nie później niż w ciągu 5 godzin od czasu wygłoszenia przemówienia. Poprawki zgłoszone po terminie umieszcza się w kolejnym sprawozdaniu stenograficznym."
Art. 176,4,"Protokół posiedzenia Sejmu obejmuje krótki zapis o przebiegu obrad, a także - w załącznikach - pełne teksty uchwalonych ustaw, podjętych uchwał, przedłożonych sprawozdań i wniosków oraz innych materiałów rozpatrywanych przez Sejm."
Art. 176,5,Poseł oraz każdy uczestnik posiedzenia biorący udział w dyskusji może zgłosić zastrzeżenia lub poprawkę do sporządzonego protokołu nie później niż do chwili rozpoczęcia następnego posiedzenia Sejmu. O przyjęciu lub odrzuceniu poprawki Sejm rozstrzyga większością głosów bez dyskusji.
Art. 176,6,"Protokół, do którego nie wniesiono zastrzeżeń lub poprawek, uważa się za przyjęty. Przyjęcie protokołu potwierdza podpisem Marszałek Sejmu lub przewodniczący obradom wicemarszałek oraz prowadzący protokół sekretarz posiedzenia. Protokół, opatrzony pieczęcią Sejmu Rzeczypospolitej Polskiej, przechowuje się w archiwum Sejmu."
Art. 176,7,Drukowanie sprawozdań stenograficznych zarządza Marszałek Sejmu.
Art. 177,,Miejsca wspólnej pracy posłów są strefami bezdymnymi.
Art. 178,,"Obradami Sejmu kieruje Marszałek lub w jego zastępstwie wicemarszałek, przy pomocy dwóch sekretarzy Sejmu."
Art. 179,1,Marszałek Sejmu udziela głosu w sprawach objętych porządkiem dziennym posiedzenia.
Art. 179,1," 65) Wystąpienia w trakcie rozpatrywania punktu porządku dziennego, o ile przepisy Regulaminu Sejmu nie stanowią inaczej, nie mogą trwać dłużej niż 15 minut. Marszałek Sejmu może wyrazić zgodę na wydłużenie wystąpienia."
Art. 179,1," 65) Przepisu ust. 1a nie stosuje się do rozpatrywania wniosków, o których mowa w art. 112-115 i art. 117."
Art. 179,2,"Posłowie, którzy zamierzają wziąć udział w dyskusji nad określonym punktem porządku dziennego, zapisują się do głosu u sekretarza Sejmu prowadzącego listę mówców."
Art. 179,3,"Marszałek Sejmu udziela głosu posłom według kolejności zapisu. Prezydium Sejmu może, po wysłuchaniu opinii Konwentu Seniorów, ustalić inną kolejność mówców."
Art. 180,1,"Przemówienia posłów w dyskusji nie mogą trwać dłużej niż 10 minut, z wyjątkiem wystąpień klubowych, które nie mogą przekraczać 20 minut. Marszałek Sejmu, po porozumieniu z Konwentem Seniorów, może ustalić inny czas przemówień i przedstawić do zatwierdzenia Sejmowi."
Art. 180,2,W debacie nad daną sprawą poseł może zabierać głos tylko dwa razy. Powtórne przemówienie posła w tej samej sprawie nie może trwać dłużej niż 5 minut.
Art. 180,3,O przedłużeniu czasu przemówienia lub o udzieleniu posłowi głosu dodatkowo decyduje Marszałek.
Art. 181,1,Prezydium Sejmu po wysłuchaniu opinii Konwentu Seniorów przedstawia Sejmowi propozycję przeprowadzenia debaty w ramach limitów czasowych przysługujących klubom i kołom poselskim.
Art. 181,2,W razie ustalenia przez Sejm prowadzenia dyskusji w sposób określony w ust. 1:
Art. 181,1,"(uchylony),"
Art. 181,2,"niedopuszczalne jest zgłaszanie wniosków formalnych, o których mowa w art. 184 ust. 3 pkt 1 - w zakresie dotyczącym zamknięcia posiedzenia, pkt 3, pkt 4 - w zakresie dotyczącym zamknięcia dyskusji, pkt 7, pkt 8 oraz pkt 10."
Art. 181,3,"Debata, o której mowa w ust. 1, może być prowadzona w formie oświadczeń w imieniu klubów i kół. W takim przypadku klub lub koło decyduje, czy w jego imieniu w ramach przysługującego mu limitu czasowego wystąpi jeden czy też więcej posłów."
Art. 181,4,Czas przeznaczony na przemówienia posła niezrzeszonego nie może trwać łącznie dłużej niż sześć minut podczas jednego posiedzenia Sejmu.
Art. 182,1,Marszałek Sejmu może dopuścić w trakcie rozpatrywania punktu porządku dziennego do zadawania pytań; przepis ten nie ma zastosowania do innych pytań przewidzianych przepisami Regulaminu Sejmu.
Art. 182,2,66) Marszałek Sejmu może dopuścić przed głosowaniem do zadawania pytań. W przypadku dopuszczenia przez Marszałka Sejmu do zadawania pytań przed głosowaniem prawo do zadania pytań przysługuje jednemu posłowi z każdego klubu i koła.
Art. 182,3,"Posłowie, którzy zamierzają zadać pytanie, zapisują się do głosu u sekretarza Sejmu prowadzącego listę posłów zadających pytanie. Przepis art. 179 ust. 3 stosuje się odpowiednio."
Art. 183,1,Marszałek Sejmu może określić jednakowy dla wszystkich posłów limit czasowy przysługujący posłowi na zadanie pytań.
Art. 183,2,Prezydium Sejmu określa środki służące przestrzeganiu limitu czasowego przysługującego posłowi na zadanie pytania oraz zasady zastosowania tych środków.
Art. 184,1,"Marszałek Sejmu udziela głosu poza porządkiem dziennym posiedzenia lub w związku z dyskusją jedynie dla zgłoszenia wniosku formalnego lub sprostowania błędnie zrozumianego lub nieściśle przytoczonego stwierdzenia mówcy, z zastrzeżeniem ust. 7."
Art. 184,2,Wnioski formalne mogą dotyczyć wyłącznie spraw będących przedmiotem porządku dziennego i przebiegu posiedzenia.
Art. 184,3,Do wniosków formalnych zalicza się wnioski o:
Art. 184,1,"przerwanie, odroczenie lub zamknięcie posiedzenia,"
Art. 184,2,"uchwalenie tajności posiedzenia,"
Art. 184,3,"zamknięcie listy mówców,"
Art. 184,4,"zamknięcie dyskusji,"
Art. 184,5,"przejście do porządku dziennego,"
Art. 184,6,"odesłanie do komisji,"
Art. 184,7,"głosowanie bez dyskusji,"
Art. 184,8,"zmianę w sposobie prowadzenia dyskusji,"
Art. 184,9,"zmianę w sposobie przeprowadzenia głosowania,"
Art. 184,10,"ograniczenie czasu przemówień,"
Art. 184,11,"stwierdzenie quorum,"
Art. 184,12,przeliczenie głosów.
Art. 184,3," 67) Wniosek formalny zgłasza się w trakcie obrad ustnie, chyba że Marszałek Sejmu zażąda zgłoszenia na piśmie."
Art. 184,3," 67) Wniosek formalny nie może być zgłoszony, jeżeli wniosek z nim tożsamy został już odrzucony przez Sejm. O tym, czy wniosek jest tożsamy z wnioskiem odrzuconym, rozstrzyga ostatecznie Marszałek Sejmu."
Art. 184,3," 67) Marszałek Sejmu odmawia poddania pod głosowanie wniosku formalnego, jeżeli uzna, że wniosek nie spełnia wymogów wynikających z Regulaminu Sejmu."
Art. 184,4,"O wniosku formalnym, o którym mowa w ust. 3 pkt 3, 4 i 10-12, Sejm rozstrzyga większością głosów obecnych posłów."
Art. 184,5,Sejm rozstrzyga o wniosku formalnym po wysłuchaniu wnioskodawcy i ewentualnie jednego przeciwnika wniosku.
Art. 184,6,"Wniosek, o którym mowa w ust. 3 pkt 1, dotyczący zamknięcia posiedzenia oraz wniosek, o którym mowa w ust. 3 pkt 4, dotyczący zamknięcia dyskusji nie mogą być złożone w trakcie debaty nad projektem ustawy konstytucyjnej lub zmiany przepisów konstytucyjnych, a także nad projektem ustawy budżetowej i innych planów finansowych państwa."
Art. 184,7,"Marszałek Sejmu udziela głosu poza porządkiem dziennym posiedzenia w celu zgłoszenia wniosku o odroczenie dyskusji. Marszałek Sejmu może poddać pod głosowanie wniosek, o którym mowa w zdaniu pierwszym. Przepis ust. 4 stosuje się odpowiednio."
Art. 184,8,"68) Wystąpienia poza porządkiem dziennym, w tym zgłoszenie wniosku formalnego, nie mogą trwać dłużej niż 2 minuty, z wyjątkiem sprostowań, które nie mogą trwać dłużej niż 1 minutę."
Art. 184,9,Prezydium Sejmu określa środki służące przestrzeganiu limitu czasowego przysługującego posłowi na wystąpienie poza porządkiem dziennym oraz zasady zastosowania tych środków.
Art. 185,1,"Marszałek Sejmu może udzielić głosu posłowi poza porządkiem obrad dla wygłoszenia oświadczenia poselskiego. Przedmiotem oświadczenia poselskiego nie może być sprawa, której merytoryczna treść jest interpelacją lub zapytaniem poselskim. Oświadczenie poselskie może być wygłaszane jedynie na zakończenie każdego dnia obrad."
Art. 185,2,Oświadczenia poselskie nie mogą trwać dłużej niż 5 minut.
Art. 185,3,Nad oświadczeniem poselskim nie przeprowadza się dyskusji.
Art. 185,4,Prezydium Sejmu określa środki służące przestrzeganiu limitu czasowego przysługującego posłowi na wygłoszenie oświadczenia poselskiego oraz zasady zastosowania tych środków.
Art. 186,1,Marszałek Sejmu udziela głosu Prezydentowi na jego życzenie poza porządkiem dziennym w celu wygłoszenia orędzia. Nad orędziem nie przeprowadza się dyskusji.
Art. 186,2,"Marszałek Sejmu udziela głosu członkom Rady Ministrów, Prezesowi Najwyższej Izby Kontroli, Szefowi Kancelarii Prezydenta oraz sekretarzowi stanu w Kancelarii Prezydenta zastępującego Szefa Kancelarii Prezydenta na danym posiedzeniu, poza kolejnością mówców zapisanych do głosu, ilekroć tego zażądają."
